Model,Accuracy,Precision,Recall,F1_Score,Training_Time_Sec,Prediction_Time_Sec,Single_Latency_Sec,Memory_Usage_KB
Decision Tree,0.9130434782608695,0.9074074074074073,0.9074074074074073,0.9074074074074073,0.0022144317626953125,0.00049591064453125,4.235506057739258e-05,3.6982421875
K-Nearest Neighbor,0.9565217391304348,0.9629629629629629,0.9444444444444444,0.9407407407407408,0.0008459091186523438,0.002114534378051758,0.0015654277801513672,45.7412109375
Logistic Regression,0.9565217391304348,0.9722222222222222,0.9444444444444444,0.9470899470899471,0.010526895523071289,0.00010371208190917969,3.9470195770263675e-05,5.2431640625
MLP Neural Network,0.9565217391304348,0.9722222222222222,0.9444444444444444,0.9470899470899471,0.11046791076660156,0.0009829998016357422,0.00013651609420776368,543.26953125
Random Forest,0.9130434782608695,0.824074074074074,0.8888888888888888,0.8507936507936509,0.10425782203674316,0.0066373348236083984,0.005828359127044678,335.1318359375
Support Vector Machine,0.9565217391304348,0.9629629629629629,0.9444444444444444,0.9407407407407408,0.0048215389251708984,0.0006575584411621094,5.866527557373047e-05,44.494140625
